Green Day;Basket Case;1994;Melchior Jacobs;melchior-jacobs@mnm.be;2024-07-03 07:21:29
R.E.M.;Drive;1992;Manfred Van Aert;manfred.van_aert@tijdloze.rocks;2024-02-15 13:15:49
The War on Drugs;Red Eyes;2014;Mia Goossens;mia_goossens@hotmail.com;2024-04-05 14:12:17
Led Zeppelin;Stairway to Heaven;1971;Martina De Block;martina1de-block@vrt.be;2024-05-16 10:10:38
Jimi Hendrix;All Along the Watchtower;1968;Maaike Wouters;maaike@wouters@scarlet.be;2024-04-06 05:18:23
Led Zeppelin;Stairway to Heaven;1971;Mariëtte De Smet;mariëtte@de-smet@skyrnet.be;2024-03-17 18:49:47
T.C. Matic;Oh La La La;1981;Moira Van Aert;moira1van_aert@telenet.be;2024-06-27 01:21:24
The Cure;A Forest;1980;Marjolein De Block;marjolein@deblock@mnm.be;2024-07-17 05:58:00
Ike & Tina Turner;Nutbush City Limits;1973;Mieke Peeters;mieke0peeters@vrt.be;2024-07-07 15:14:05
The Sisters of Mercy;Alice;1982;Melle Van der poel;melleenvan.der.poel@scarlet.be;2024-07-25 19:44:23
Oasis;Don't Look Back in Anger;1995;Mitchel Van eynde;mitchel-vaneynde@yahoo.com;2024-10-15 01:26:43
Gorki;Mia;1992;Meike Peeters;meike_peeters@scarlet.be;2024-04-19 08:06:16
The Rolling Stones;Sympathy for the Devil;1968;Milano Claes;milano.claes@protonmail.com;2024-02-11 13:00:23
dEUS;Hotellounge;1994;Maria Van eynde;maria_van_eynde@gmx.com;2024-06-11 17:15:10
AC/DC;Highway to Hell;1979;Maria Maes;maria0maes@gmx.com;2024-10-25 04:52:59
Kings of Leon;Sex on Fire;2008;Marcellus Peeters;marcellus.peeters@mail.google.com;2024-02-09 10:25:30
Daan;Housewife;2004;Mare Van der poel;mare0vanderpoel@scarlet.be;2024-02-07 20:04:46
Red Zebra;I Can't Live in a Living Room;1980;Mayke Van eynde;mayke@van-eynde@yahoo.com;2024-03-21 22:31:17
Faithless;God Is A DJ;1998;Margo De Smet;margo0de.smet@outlook.com;2024-11-07 10:39:59
Sinéad O'Connor;Troy;1987;Mohammed Wouters;mohammed@wouters@hotmail.com;2024-11-11 07:27:10
Jeff Buckley;Grace;1994;Morris Jacobs;morris@jacobs@gmx.com;2024-10-17 05:02:00
The Sisters of Mercy;Temple of Love;1983;Marjolein Jacobs;marjolein@jacobs@gmx.com;2024-11-28 05:42:49
Queen;Bohemian Rhapsody;1975;Miquel Willems;miquel_willems@mnm.be;2024-01-12 07:10:31
Joy Division;Love Will Tear Us Apart;1980;Mike Jacobs;mikeenjacobs@tijdloze.rocks;2024-01-28 02:04:33
The Doors;Riders on the Storm;1971;Moira Claes;moira123claes@gmx.com;2024-05-25 07:58:41
The Rolling Stones;Angie;1973;Maximiliaan Peeters;maximiliaan.peeters@uhasselt.be;2024-03-16 17:23:42
